id,date,name,category,chain,funds_lost,funds_recovered,funds_returned,scam_type,scam_parent,year
3778,2023-11-10,Raft,"Stablecoin,Borrowing and Lending",,330440.0,0.0,0.0,Other,Exploit/Other,2023
3779,2023-11-15,PIPI,Token,,121373.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3780,2023-11-01,Onyx Protocol,Borrowing and Lending,,2149772.0,0.0,0.0,Flash Loan Attack,Exploit/Flash Loan Attack,2023
3781,2023-11-02,3913 token,Token,,31354.0,0.0,0.0,Flash Loan Attack,Exploit/Flash Loan Attack,2023
3782,2023-11-21,CredixFinance,Token,,25564.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3783,2023-11-22,HECO,Bridge,,86284430.0,0.0,0.0,Access Control,Exploit/Access control,2023
3785,2023-11-23,SAI Pro,Token,,751627.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3786,2023-11-21,Dor,Token,,102731.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3787,2023-11-23,KyberSwap,Exchange (DEX),,45275428.0,0.0,0.0,Flash Loan Attack,Exploit/Flash Loan Attack,2023
3788,2023-11-22,HTX,CeFi,,21854944.0,0.0,0.0,Access Control,Exploit/Access control,2023
3789,2023-11-24,Jewels,Token,,63794.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3790,2023-11-23,TrustPad,Token,,56329.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3791,2023-11-23,DarkProtocol,Token,,174334.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3792,2023-11-23,GigaDAO,Token,,107819.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3793,2023-11-23,Web,Token,,178964.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3794,2023-11-23,Creso,Token,,153603.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3795,2023-11-23,IPMB,Token,,172483.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3796,2023-11-23,DigiFund,Token,,105555.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3797,2023-11-23,RepubliK,Token,,121445.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
